I
1100 Version - o-my-mission-plan demo extract (not a full X-Plane cycle)
# Demo-scale Gulf / PSAB theater navaids for denser published-fix routing.
# Format: type lat lon elev freq class BFO ident name...
# type 2=VOR/VORTAC, 3=NDB. Attribution: synthetic demo coordinates inspired by
# public charted fix locations — NOT redistributed X-Plane copyrighted global DB.
# See docs/NAV-DATA.md.
2  24.075000  47.585000  0  11450  50  0.0  PSA Prince Sultan
2  25.285300  49.485200  0  11270  50  0.0  HFR Hofuf
2  26.265000  50.150000  0  11730  50  0.0  DHA Dhahran
2  26.270800  50.633600  0  11250  50  0.0  BAH Bahrain
2  29.240000  47.970000  0  11550  50  0.0  KWI Kuwait
2  28.420000  48.500000  0  11390  50  0.0  RAS Ras Al Khafji
2  24.550000  46.700000  0  11230  50  0.0  RUH Riyadh
2  26.950000  49.650000  0  11610  50  0.0  JUB Jubail
2  27.450000  49.000000  0  11510  50  0.0  QFF Qatif area
2  28.100000  48.100000  0  11410  50  0.0  SFA Safaniyah area
2  28.650000  47.850000  0  11310  50  0.0  WAF Wafra approach
2  29.050000  48.150000  0  11650  50  0.0  FNR Failaka north
2  29.350000  47.550000  0  11290  50  0.0  MUT Mutla ridge fix
2  29.550000  47.800000  0  11490  50  0.0  ABD Abdaly corridor
2  30.050000  47.700000  0  11570  50  0.0  SAF Safwan gate
2  30.500000  47.800000  0  11350  50  0.0  BSR Basra approaches
2  31.000000  46.250000  0  11690  50  0.0  NAS Nasiriyah area
2  30.950000  46.100000  0  11430  50  0.0  TAL Talil approaches
2  32.200000  44.900000  0  11530  50  0.0  HIL Hillah corridor
2  32.800000  44.400000  0  11210  50  0.0  BGD Baghdad south
2  33.100000  44.200000  0  11710  50  0.0  BAG Baghdad area
2  29.800000  46.500000  0  11370  50  0.0  WAB Wadi al Batin
2  28.900000  46.200000  0  11470  50  0.0  HAF Hafr al Batin
2  27.200000  48.500000  0  11630  50  0.0  MAB Manifa bay
2  25.900000  48.700000  0  11590  50  0.0  AIN Ain Dar area
2  24.900000  48.200000  0  11330  50  0.0  KHR Khurais corridor
2  26.500000  47.500000  0  11400  50  0.0  MAJ Majmaah area
2  27.800000  46.800000  0  11260  50  0.0  QAI Qaisumah
3  29.100000  48.050000  0  350  0  0.0  KUA Kuwait NDB
3  30.450000  47.700000  0  365  0  0.0  BAS Basra NDB
3  26.200000  50.200000  0  340  0  0.0  DHR Dhahran NDB
3  24.100000  47.600000  0  375  0  0.0  PSR PSAB NDB
99
